Module level,Tier 1,Tier 2,Tier 3,Tier 4
HRM,Calendar,Event registration,,
,,Timesheets,,
,,Planned leaves,,
,,Requests overview,,
,,Vacation management,,
,,Roster,,
,Employees,Employee list,,
,,Employee card,,
,,Historic bulk operations,,
,,Import vacation balances,,
,,Import absences,,
,Expense,Home,,
,,Additional services,,
,Payroll,Overview of all companies,,
,,Transactions,,
,,Tasks,,
,,Paycodes,,
,,Digital Income Form,,
,Payroll Portal,Dialogue,,
,,Employees,,
,,Documents,,
,Payslip,Payslips,,
,,Year-end reports,,
,Reports,Calendar,Absence in percent,
,,,Absence statistics,
,,,All registrations,
,,,Balances,Flexitime
,,,,Saved overtime
,,,,Vacation balances
,,,Personnel list,
,,,Refundable absence,
,,,Self-certified sickness,
,,,Worked hours overview,
,,Expense,Data extract,
,,,Driving log (admin),
,,,Claim download,
,,,Emissions,
,,A-messages,,
,,A-messages old /headless /set-reports-1,,
,,Accounting view /headless /set-reports-1,,
,,Altinn 3 status,,
,,Employee report /headless,,
,,HRM Analytics /headless,,
,,Reconciliation reports,,
,,Reports /headless /set-reports-1,,
,,Transaction view /headless /set-reports-1,,
,Settings,Calendar,Company settings,
,,,Cost unit types,
,,,Employee settings,Bulk update time agreements
,,,,Time agreements
,,,Event codes,
,,,File import,
,,,Special days,
,,,Time rules,Compensation rules
,,,,Result codes
,,,,Time agreements
,,,,Time terminal
,,Expense,Types,Daily allowances
,,,,Abroad destinations
,,,,Mileages
,,,,Expenses
,,,,Other
,,,Company configuration,VAT configuration
,,,,Claim registration settings
,,,,Workflow
,,,,Disable claim registration
,,,Cost units,Cost unit types
,,,,"""Division"""
,,,,"""Sector"""
,,,,"""Team"""
,,,,"""Location"""
,,,,"""Department"""
,,,,"""Custom"""
,,,Employees and groups,Employees
,,,,Groups
,,Account types /headless /set-settings-1,,
,,Accounts /headless /set-settings-1,,
,,Anomaly detection,,
,,Car register /headless /set-settings-1,,
,,Company settings /headless /set-settings-1,,
,,Cost unit import,,
,,Cost unit management,,
,,Creditors /headless /set-settings-1,,
,,Enterprise certificate,,
,,Paycodes /headless /set-settings-2,,
,,Payslip configuration /headless /set-reports-1,,
,,Pension /headless /set-settings-1,,
,,Tags,,
,,Template company,,
,,Unions /headless /set-settings-1,,
,,Wage run approval,,
,,Wage run planner,,
,,Work time agreements /headless /set-settings-1,,
